MIRN,GAS_DATE,ENERGY_GJ,c02,CH4,N20,c02-e
12345678900,1/05/2021,117.169695,0.2366851272939,0.00046047690135,0.000138143070405,0.237283747265655
12345678900,2/05/2021,116.45136,0.2352340762272,0.0004576538448,0.00013729615344,0.23582902622544
12345678900,3/05/2021,116.46666,0.2352649825332,0.0004577139738,0.00013731419214,0.23586001069914
12345678900,4/05/2021,124.232175,0.2509514781435,0.00048823244775,0.000146469734325,0.251586180325575
12345678900,5/05/2021,118.66221,0.2397000374442,0.0004663424853,0.00013990274559,0.24030628267509
12345678900,6/05/2021,117.827595,0.2380140984519,0.00046306244835,0.000138918734505,0.238616079634755
12345678900,7/05/2021,118.158075,0.2386816746615,0.00046436123475,0.000139308370425,0.239285344266675
12345678900,8/05/2021,109.35981,0.2209090033962,0.0004297840533,0.00012893521599,0.22146772266549
12345678900,9/05/2021,107.40141,0.2169529962282,0.0004220875413,0.00012662626239,0.21750171003189
12345678900,10/05/2021,116.64108,0.2356173144216,0.0004583994444,0.00013751983332,0.23621323369932
12345678900,11/05/2021,114.3981,0.231086449962,0.000449584533,0.0001348753599,0.2316709098549
12345678900,12/05/2021,114.3522,0.230993731044,0.000449404146,0.0001348212438,0.2315779564338
12345678900,13/05/2021,114.30477,0.2308979214954,0.0004492177461,0.00013476532383,0.23148190456533
12345678900,14/05/2021,112.55139,0.2273560588278,0.0004423269627,0.00013269808881,0.22793108387931
12345678900,15/05/2021,105.73218,0.2135811182436,0.0004155274674,0.00012465824022,0.21412130395122
12345678900,16/05/2021,107.662275,0.2174799487455,0.00042311274075,0.000126933822225,0.218029995308475
12345678900,17/05/2021,112.81149,0.2278814660298,0.0004433491557,0.00013300474671,0.22845781993221
12345678900,18/05/2021,112.7457,0.227748568914,0.000443090601,0.0001329271803,0.2283245866953
12345678900,19/05/2021,114.48837,0.2312687971674,0.0004499392941,0.00013498178823,0.23185371824973
12345678900,20/05/2021,111.82923,0.2258972811846,0.0004394888739,0.00013184666217,0.22646861672067
12345678900,21/05/2021,114.56487,0.2314233286974,0.0004502399391,0.00013507198173,0.23200864061823
12345678900,22/05/2021,106.816185,0.2157708300237,0.00041978760705,0.000125936282115,0.216316553912865
12345678900,23/05/2021,108.69732,0.2195707603464,0.0004271804676,0.00012815414028,0.22012609495428
12345678900,24/05/2021,114.827265,0.2319533718453,0.00045127115145,0.000135381345435,0.232540024342185
12345678900,25/05/2021,109.833345,0.2218655535669,0.00043164504585,0.000129493513755,0.222426692126505
12345678900,26/05/2021,109.313145,0.2208147391629,0.00042960065985,0.000128880197955,0.221373220020705
12345678900,27/05/2021,109.7469,0.221690932938,0.000431305317,0.0001293915951,0.2222516298501
12345678900,28/05/2021,109.340685,0.2208703705137,0.00042970889205,0.000128912667615,0.221428992073365
12345678900,29/05/2021,103.151835,0.2083687697367,0.00040538671155,0.000121616013465,0.208895772461715
12345678900,30/05/2021,102.149685,0.2063444066937,0.00040144826205,0.000120434478615,0.206866289434365
12345678900,31/05/2021,113.936805,0.2301546248361,0.00044777164365,0.000134331493095,0.230736727972845
12345678900,1/06/2021,115.902855,0.2341260851571,0.00045549822015,0.000136649466045,0.234718232843295
12345678900,2/06/2021,114.75306,0.2318034762612,0.0004509795258,0.00013529385774,0.23238974964474
12345678900,3/06/2021,115.20135,0.232709031027,0.0004527413055,0.00013582239165,0.23329759472415
12345678900,4/06/2021,110.593755,0.2234015969751,0.00043463345715,0.000130390037145,0.223966620469395
12345678900,5/06/2021,103.6575,0.20939022315,0.000407373975,0.0001222121925,0.2099198093175
12345678900,6/06/2021,104.609925,0.2113141406985,0.00041111700525,0.000123335101575,0.211848592805325
12345678900,7/06/2021,112.188015,0.2266220340603,0.00044089889895,0.000132269669685,0.227195202628935
12345678900,8/06/2021,111.2004,0.224627032008,0.000437017572,0.0001311052716,0.2251951548516
12345678900,9/06/2021,115.128675,0.2325622260735,0.00045245569275,0.000135736707825,0.233150418474075
12345678900,10/06/2021,115.656525,0.2336284936305,0.00045453014325,0.000136359042975,0.234219382816725
12345678900,11/06/2021,114.118875,0.2305224098775,0.00044848717875,0.000134546153625,0.231105443209875
12345678900,12/06/2021,102.882555,0.2078248187511,0.00040432844115,0.000121298532345,0.208350445724595
12345678900,13/06/2021,103.90383,0.2098878146766,0.0004083420519,0.00012250261557,0.21041865934407
12345678900,14/06/2021,112.80996,0.2278783753992,0.0004433431428,0.00013300294284,0.22845472148484
12345678900,15/06/2021,112.93389,0.2281287164778,0.0004438301877,0.00013314905631,0.22870569572181
12345678900,16/06/2021,114.89841,0.2320970861682,0.0004515507513,0.00013546522539,0.23268410214489
12345678900,17/06/2021,115.638165,0.2335914060633,0.00045445798845,0.000136337396535,0.234182201448285
12345678900,18/06/2021,115.12332,0.2325514088664,0.0004524346476,0.00013573039428,0.23313957390828
12345678900,19/06/2021,106.351065,0.2148312783213,0.00041795968545,0.000125387905635,0.215374625912385
12345678900,20/06/2021,105.070455,0.2122444205091,0.00041292688815,0.000123878066445,0.212781225463695
12345678900,21/06/2021,113.16798,0.2286015829596,0.0004447501614,0.00013342504842,0.22917975816942
12345678900,22/06/2021,112.942305,0.2281457149461,0.00044386325865,0.000133158977595,0.228722737182345
12345678900,23/06/2021,113.56578,0.2294051469156,0.0004463135154,0.00013389405462,0.22998535448562
12345678900,24/06/2021,115.13709,0.2325792245418,0.0004524887637,0.00013574662911,0.23316745993461
12345678900,25/06/2021,112.75335,0.227764022067,0.0004431206655,0.00013293619965,0.22834007893215
