"nmi","kwh","half_hour_interval","reading_date_time","reading_date","baseload","hvac_action","temperature","humidity"
"1234567890",0,4,"2019-04-02 02:00:00","2019-04-02",1361.1156819322623,"IDLE",15.8,95
"1234567890",0,5,"2019-04-02 02:30:00","2019-04-02",1361.1156819322623,"IDLE",15.9,94
"1234567890",0,6,"2019-04-02 03:00:00","2019-04-02",1361.1156819322623,"IDLE",16,93
"1234567890",0,7,"2019-04-02 03:30:00","2019-04-02",1361.1156819322623,"IDLE",16,93
"1234567890",0,8,"2019-04-02 04:00:00","2019-04-02",1361.1156819322623,"IDLE",16,93
"1234567890",0,9,"2019-04-02 04:30:00","2019-04-02",1361.1156819322623,"IDLE",15.8,92
"1234567890",0,10,"2019-04-02 05:00:00","2019-04-02",1361.1156819322623,"IDLE",15.9,92
"1234567890",0,11,"2019-04-02 05:30:00","2019-04-02",1361.1156819322623,"IDLE",16,91
"1234567890",0,12,"2019-04-02 06:00:00","2019-04-02",1361.1156819322623,"IDLE",15.9,91
"1234567890",0,13,"2019-04-02 06:30:00","2019-04-02",1361.1156819322623,"IDLE",16,91
"1234567890",0,14,"2019-04-02 07:00:00","2019-04-02",1361.1156819322623,"IDLE",16.3,91
"1234567890",0,15,"2019-04-02 07:30:00","2019-04-02",1361.1156819322623,"IDLE",16.7,88
"1234567890",0,16,"2019-04-02 08:00:00","2019-04-02",1361.1156819322623,"IDLE",17,87
"1234567890",7.348314413772012,17,"2019-04-02 08:30:00","2019-04-02",1361.1156819322623,"HEATING",17.6,84
"1234567890",6.12413823966026,18,"2019-04-02 09:00:00","2019-04-02",1361.1156819322623,"HEATING",18.5,82
"1234567890",8.710089153610594,19,"2019-04-02 09:30:00","2019-04-02",1361.1156819322623,"HEATING",18.9,81
"1234567890",12.484413940855337,20,"2019-04-02 10:00:00","2019-04-02",1361.1156819322623,"HEATING",18.1,89
"1234567890",17.207518371888742,21,"2019-04-02 10:30:00","2019-04-02",1361.1156819322623,"HEATING",17.8,87
"1234567890",18.354110782096978,22,"2019-04-02 11:00:00","2019-04-02",1361.1156819322623,"HEATING",18.3,90
"1234567890",15.593368274691223,23,"2019-04-02 11:30:00","2019-04-02",1361.1156819322623,"HEATING",19.4,85
"1234567890",11.874999999999991,24,"2019-04-02 12:00:00","2019-04-02",1361.1156819322623,"HEATING",20.1,77
"1234567890",8.548180207009871,25,"2019-04-02 12:30:00","2019-04-02",1361.1156819322623,"HEATING",20.6,75
"1234567890",4.4429471592455725,26,"2019-04-02 13:00:00","2019-04-02",1361.1156819322623,"HEATING",21.3,74
"1234567890",8.801180681286537,27,"2019-04-02 13:30:00","2019-04-02",1361.1156819322623,"HEATING",20.3,80
"1234567890",4.296312110550368,28,"2019-04-02 14:00:00","2019-04-02",1361.1156819322623,"HEATING",21.4,76
"1234567890",3.614764546396777,29,"2019-04-02 14:30:00","2019-04-02",1361.1156819322623,"HEATING",21.5,71
"1234567890",2.787475490101837,30,"2019-04-02 15:00:00","2019-04-02",1361.1156819322623,"HEATING",21.6,71
"1234567890",3.432504696570949,31,"2019-04-02 15:30:00","2019-04-02",1361.1156819322623,"HEATING",20.9,72
"1234567890",0,32,"2019-04-02 16:00:00","2019-04-02",1361.1156819322623,"IDLE",19.6,86
"1234567890",0,33,"2019-04-02 16:30:00","2019-04-02",1361.1156819322623,"IDLE",20.1,80
"1234567890",0,34,"2019-04-02 17:00:00","2019-04-02",1361.1156819322623,"IDLE",20,79
"1234567890",0,35,"2019-04-02 17:30:00","2019-04-02",1361.1156819322623,"IDLE",19.9,77
"1234567890",0,36,"2019-04-02 18:00:00","2019-04-02",1361.1156819322623,"IDLE",19.6,78
"1234567890",0,37,"2019-04-02 18:30:00","2019-04-02",1361.1156819322623,"IDLE",19.2,81
"1234567890",0,38,"2019-04-02 19:00:00","2019-04-02",1361.1156819322623,"IDLE",18.9,84
"1234567890",0,39,"2019-04-02 19:30:00","2019-04-02",1361.1156819322623,"IDLE",18.9,86
"1234567890",0,40,"2019-04-02 20:00:00","2019-04-02",1361.1156819322623,"IDLE",18.5,86
"1234567890",0,41,"2019-04-02 20:30:00","2019-04-02",1361.1156819322623,"IDLE",17.9,88
"1234567890",0,42,"2019-04-02 21:00:00","2019-04-02",1361.1156819322623,"IDLE",17.7,89
"1234567890",0,43,"2019-04-02 21:30:00","2019-04-02",1361.1156819322623,"IDLE",17.4,90
"1234567890",0,44,"2019-04-02 22:00:00","2019-04-02",1361.1156819322623,"IDLE",17.2,89
"1234567890",0,45,"2019-04-02 22:30:00","2019-04-02",1361.1156819322623,"IDLE",16.6,89
"1234567890",0,46,"2019-04-02 23:00:00","2019-04-02",1361.1156819322623,"IDLE",17,85
"1234567890",0,47,"2019-04-02 23:30:00","2019-04-02",1361.1156819322623,"IDLE",16.3,88
"1234567890",0,48,"2019-04-03 00:00:00","2019-04-02",1361.1156819322623,"IDLE",16.1,90
"1234567890",0,1,"2019-04-03 00:30:00","2019-04-03",1648.8760726309733,"IDLE",16.1,87
"1234567890",0,2,"2019-04-03 01:00:00","2019-04-03",1648.8760726309733,"IDLE",15.9,89
"1234567890",0,3,"2019-04-03 01:30:00","2019-04-03",1648.8760726309733,"IDLE",14.9,93
"1234567890",0,4,"2019-04-03 02:00:00","2019-04-03",1648.8760726309733,"IDLE",15.2,94
"1234567890",0,5,"2019-04-03 02:30:00","2019-04-03",1648.8760726309733,"IDLE",15.1,95
"1234567890",0,6,"2019-04-03 03:00:00","2019-04-03",1648.8760726309733,"IDLE",15.1,96
"1234567890",0,7,"2019-04-03 03:30:00","2019-04-03",1648.8760726309733,"IDLE",14.8,96
"1234567890",0,8,"2019-04-03 04:00:00","2019-04-03",1648.8760726309733,"IDLE",14.9,96
"1234567890",0,9,"2019-04-03 04:30:00","2019-04-03",1648.8760726309733,"IDLE",14.9,96
"1234567890",0,10,"2019-04-03 05:00:00","2019-04-03",1648.8760726309733,"IDLE",14.9,96
"1234567890",0,11,"2019-04-03 05:30:00","2019-04-03",1648.8760726309733,"IDLE",14.7,96
"1234567890",0,12,"2019-04-03 06:00:00","2019-04-03",1648.8760726309733,"IDLE",13.9,96
"1234567890",0,13,"2019-04-03 06:30:00","2019-04-03",1648.8760726309733,"IDLE",13.5,97
"1234567890",0,14,"2019-04-03 07:00:00","2019-04-03",1648.8760726309733,"IDLE",14.4,98
"1234567890",0,15,"2019-04-03 07:30:00","2019-04-03",1648.8760726309733,"IDLE",15.5,98
"1234567890",0,16,"2019-04-03 08:00:00","2019-04-03",1648.8760726309733,"IDLE",15,95
"1234567890",9.71484990885281,17,"2019-04-03 08:30:00","2019-04-03",1648.8760726309733,"HEATING",16.3,93
"1234567890",6.244798888828682,18,"2019-04-03 09:00:00","2019-04-03",1648.8760726309733,"HEATING",18.1,86
"1234567890",7.976072431483239,19,"2019-04-03 09:30:00","2019-04-03",1648.8760726309733,"HEATING",20,77
"1234567890",7.0217186218029095,20,"2019-04-03 10:00:00","2019-04-03",1648.8760726309733,"HEATING",20.8,76
"1234567890",4.193956258636673,21,"2019-04-03 10:30:00","2019-04-03",1648.8760726309733,"HEATING",21.4,70
"1234567890",9.120597349514037,22,"2019-04-03 11:00:00","2019-04-03",1648.8760726309733,"COOLING",22.8,61
"1234567890",13.304601970931436,23,"2019-04-03 11:30:00","2019-04-03",1648.8760726309733,"COOLING",23.1,58
"1234567890",18.75,24,"2019-04-03 12:00:00","2019-04-03",1648.8760726309733,"COOLING",23.5,55
"1234567890",15.593368274691223,25,"2019-04-03 12:30:00","2019-04-03",1648.8760726309733,"COOLING",23.3,53
"1234567890",18.56789313881319,26,"2019-04-03 13:00:00","2019-04-03",1648.8760726309733,"COOLING",23.9,50
"1234567890",19.615953800288224,27,"2019-04-03 13:30:00","2019-04-03",1648.8760726309733,"COOLING",24.6,47
"1234567890",17.638653266590968,28,"2019-04-03 14:00:00","2019-04-03",1648.8760726309733,"COOLING",24.7,47
"1234567890",15.736421000189788,29,"2019-04-03 14:30:00","2019-04-03",1648.8760726309733,"COOLING",24.8,51
"1234567890",14.70123421513565,30,"2019-04-03 15:00:00","2019-04-03",1648.8760726309733,"COOLING",25.1,48
"1234567890",9.142745724423571,31,"2019-04-03 15:30:00","2019-04-03",1648.8760726309733,"COOLING",25.1,47
"1234567890",0,32,"2019-04-03 16:00:00","2019-04-03",1648.8760726309733,"IDLE",25,47
"1234567890",0,33,"2019-04-03 16:30:00","2019-04-03",1648.8760726309733,"IDLE",24.6,49
"1234567890",0,34,"2019-04-03 17:00:00","2019-04-03",1648.8760726309733,"IDLE",24.3,50
"1234567890",0,35,"2019-04-03 17:30:00","2019-04-03",1648.8760726309733,"IDLE",24.1,51
"1234567890",0,36,"2019-04-03 18:00:00","2019-04-03",1648.8760726309733,"IDLE",22.6,59
"1234567890",0,37,"2019-04-03 18:30:00","2019-04-03",1648.8760726309733,"IDLE",21.3,68
"1234567890",0,38,"2019-04-03 19:00:00","2019-04-03",1648.8760726309733,"IDLE",20.9,72
"1234567890",0,39,"2019-04-03 19:30:00","2019-04-03",1648.8760726309733,"IDLE",20.3,74
"1234567890",0,40,"2019-04-03 20:00:00","2019-04-03",1648.8760726309733,"IDLE",20,72
"1234567890",0,41,"2019-04-03 20:30:00","2019-04-03",1648.8760726309733,"IDLE",19.6,74
"1234567890",0,42,"2019-04-03 21:00:00","2019-04-03",1648.8760726309733,"IDLE",19.1,75
"1234567890",0,43,"2019-04-03 21:30:00","2019-04-03",1648.8760726309733,"IDLE",18.6,76
"1234567890",0,44,"2019-04-03 22:00:00","2019-04-03",1648.8760726309733,"IDLE",18.5,78
"1234567890",0,45,"2019-04-03 22:30:00","2019-04-03",1648.8760726309733,"IDLE",18,80
"1234567890",0,46,"2019-04-03 23:00:00","2019-04-03",1648.8760726309733,"IDLE",18.2,80
"1234567890",0,47,"2019-04-03 23:30:00","2019-04-03",1648.8760726309733,"IDLE",18.1,79
"1234567890",0,48,"2019-04-04 00:00:00","2019-04-03",1648.8760726309733,"IDLE",17.7,80
"1234567890",0,1,"2019-04-04 00:30:00","2019-04-04",1628.9691908200189,"IDLE",17.1,82
"1234567890",0,2,"2019-04-04 01:00:00","2019-04-04",1628.9691908200189,"IDLE",17.3,80
"1234567890",0,3,"2019-04-04 01:30:00","2019-04-04",1628.9691908200189,"IDLE",16.6,83
"1234567890",0,4,"2019-04-04 02:00:00","2019-04-04",1628.9691908200189,"IDLE",16.1,86
"1234567890",0,5,"2019-04-04 02:30:00","2019-04-04",1628.9691908200189,"IDLE",15.4,88
"1234567890",0,6,"2019-04-04 03:00:00","2019-04-04",1628.9691908200189,"IDLE",15.5,88
"1234567890",0,7,"2019-04-04 03:30:00","2019-04-04",1628.9691908200189,"IDLE",15,90
"1234567890",0,8,"2019-04-04 04:00:00","2019-04-04",1628.9691908200189,"IDLE",15.7,88
"1234567890",0,9,"2019-04-04 04:30:00","2019-04-04",1628.9691908200189,"IDLE",14.7,91
"1234567890",0,10,"2019-04-04 05:00:00","2019-04-04",1628.9691908200189,"IDLE",14.6,92
"1234567890",0,11,"2019-04-04 05:30:00","2019-04-04",1628.9691908200189,"IDLE",14.1,94
"1234567890",0,12,"2019-04-04 06:00:00","2019-04-04",1628.9691908200189,"IDLE",14.8,92
"1234567890",0,13,"2019-04-04 06:30:00","2019-04-04",1628.9691908200189,"IDLE",15.1,92
"1234567890",0,14,"2019-04-04 07:00:00","2019-04-04",1628.9691908200189,"IDLE",15.3,92
"1234567890",0,15,"2019-04-04 07:30:00","2019-04-04",1628.9691908200189,"IDLE",16.1,89
"1234567890",0,16,"2019-04-04 08:00:00","2019-04-04",1628.9691908200189,"IDLE",17.2,85
"1234567890",3.1967031865070146,17,"2019-04-04 08:30:00","2019-04-04",1628.9691908200189,"HEATING",18.7,78
"1234567890",6.25,18,"2019-04-04 09:00:00","2019-04-04",1628.9691908200189,"HEATING",20,76
"1234567890",6.12413823966026,19,"2019-04-04 09:30:00","2019-04-04",1628.9691908200189,"HEATING",21,69
"1234567890",3.0707142142714154,20,"2019-04-04 10:00:00","2019-04-04",1628.9691908200189,"COOLING",22.2,67
"1234567890",2.991515051661676,21,"2019-04-04 10:30:00","2019-04-04",1628.9691908200189,"HEATING",21.6,72
"1234567890",8.028020604211934,22,"2019-04-04 11:00:00","2019-04-04",1628.9691908200189,"COOLING",22.7,63
"1234567890",1.3364744967700797,23,"2019-04-04 11:30:00","2019-04-04",1628.9691908200189,"COOLING",22.1,65
"1234567890",4.999999999999982,24,"2019-04-04 12:00:00","2019-04-04",1628.9691908200189,"COOLING",22.4,65
"1234567890",8.548180207009871,25,"2019-04-04 12:30:00","2019-04-04",1628.9691908200189,"COOLING",22.7,61
"1234567890",18.077026080980417,26,"2019-04-04 13:00:00","2019-04-04",1628.9691908200189,"COOLING",23.8,56
"1234567890",15.625,27,"2019-04-04 13:30:00","2019-04-04",1628.9691908200189,"COOLING",24,70
"1234567890",12.5,28,"2019-04-04 14:00:00","2019-04-04",1628.9691908200189,"COOLING",24,70
"1234567890",3.614764546396777,29,"2019-04-04 14:30:00","2019-04-04",1628.9691908200189,"HEATING",21.5,71
"1234567890",5.87015111060308,30,"2019-04-04 15:00:00","2019-04-04",1628.9691908200189,"HEATING",20.9,70
"1234567890",3.3769526483955308,31,"2019-04-04 15:30:00","2019-04-04",1628.9691908200189,"HEATING",21,69
"1234567890",0,32,"2019-04-04 16:00:00","2019-04-04",1628.9691908200189,"IDLE",20.7,71
